-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
278,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
308,309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
338,339,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
368,369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
398,399,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
